Column Name,Max,Min,nonzero_min_values,Zero Count,Null Count,Mean,Median,Non-zero Mean,Non-zero Median
210X1,102.45,0,88.53,120,0,83.4895125,100.25,98.22295588,100.65
210X2,1.639,0,0.312,120,0,0.4140025,0.447,0.487061765,0.473
210X3,0.43,0,0.14,120,0,0.224775,0.24,0.264441176,0.24
210X4,4.139,0,0.504,120,0,1.2961575,1.336,1.524891176,1.43
210X5,71.38,0,28.75,120,0,49.9326,57.195,58.74423529,57.45
210X6,5.64,0,0.851,120,0,2.4179825,2.3775,2.844685294,3.2145
210X7,4,-2.79,-2.79,11,0,0.322025,0,0.326514575,0.01
210X8,1.97,-1.57,-1.57,6,0,-0.1089875,-0.08,-0.109811083,-0.08
210X9,0.17,-0.19,-0.19,4,0,-0.0282625,-0.11,-0.028404523,-0.115
210X10,29.4,0,22.4,4,0,25.574125,25.3,25.70263819,25.3
210X11,44.08,0,14.32,120,0,22.642675,25.125,26.63844118,25.295
210X12,2.842,0,0.32,120,0,0.4585775,0.449,0.539502941,0.46
210X13,0.085,0,0.069,4,0,0.07663625,0.076,0.077021357,0.076
210X14,0.373,0,0.065,4,0,0.07535125,0.076,0.075729899,0.076
210X15,0.086,0,0.071,4,0,0.076715,0.077,0.077100503,0.077
210X16,0.086,0,0.065,4,0,0.07501875,0.076,0.075395729,0.076
210X18,0.4,0.398,0.398,0,0,0.399555,0.4,0.399555,0.4
210X19,2,0,1,4,0,1.88125,2,1.890703518,2
210X20,14.9,0,13,4,0,14.163875,14.3,14.23505025,14.3
210X21,14,0,14,4,0,13.93,14,14,14
210X23,14.9,0,12.9,4,0,14.150125,14.2,14.22123116,14.2
210X24,2.01707E+13,2.01666E+13,2.01666E+13,0,1,2.01706E+13,2.01706E+13,2.01706E+13,2.01706E+13
210X25,0.768,0,0.669,4,0,0.7113175,0.724,0.71489196,0.724
210X26,0.777,0,0.663,4,0,0.714325,0.72,0.717914573,0.72
210X27,0.007,0,0.002,4,0,0.00364375,0.004,0.00366206,0.004
210X28,0.009,0,0.002,4,0,0.0037675,0.004,0.003786432,0.004
210X29,0.015,0,0.001,38,0,0.00097,0.001,0.001018373,0.001
210X30,0.001,0,0.001,36,0,0.000955,0.001,0.001,0.001
210X32,0.092,0,0.064,4,0,0.076615,0.077,0.077,0.077
210X33,0.081,0,0.067,4,0,0.07552,0.077,0.075899497,0.077
210X34,0.089,0,0.066,4,0,0.07667625,0.077,0.077061558,0.077
210X35,0.08,0,0.068,4,0,0.07555875,0.077,0.075938442,0.077
210X36,460,0,415,4,0,433.18125,435,435.3580402,435
210X39,68.38,0,37.96,120,0,43.9539875,50.25,51.71057353,51.3
210X40,0.518,0,0.242,4,0,0.4622225,0.474,0.464545226,0.474
210X41,0.532,0,0.414,4,0,0.46702,0.468,0.469366834,0.469
210X42,0.518,0,0.416,4,0,0.46260125,0.474,0.464925879,0.474
210X43,0.531,0,0.414,4,0,0.4670275,0.468,0.469374372,0.469
210X44,1.017,0,0.925,4,0,0.96146625,0.971,0.966297739,0.9715
210X45,1.152,0,0.912,4,0,0.96270375,0.97,0.967541457,0.97
210X46,1.018,0,0.925,4,0,0.9615225,0.971,0.966354271,0.971
210X47,1.025,0,0.913,4,0,0.96250625,0.97,0.967342965,0.97
210X48,0.509,0,0.486,4,0,0.49871,0.504,0.50121608,0.504
210X49,0.507,0,0.491,4,0,0.49535875,0.499,0.49784799,0.499
210X50,0.509,0,0.486,4,0,0.49876625,0.504,0.501272613,0.504
210X51,0.507,0,0.491,4,0,0.4953825,0.499,0.497871859,0.499
210X52,11.79,0,0.557,120,0,3.663895,3.632,4.310464706,3.9355
210X53,0.571,0,0.465,4,0,0.5120275,0.523,0.514600503,0.523
210X54,0.583,0,0.462,4,0,0.51622625,0.52,0.518820352,0.5215
210X55,0.571,0,0.465,4,0,0.51207875,0.523,0.51465201,0.523
210X56,0.583,0,0.463,4,0,0.51624125,0.52,0.518835427,0.52
210X57,0.053,0,0.003,4,0,0.0047975,0.005,0.004821608,0.005
210X58,0.009,0,0.003,4,0,0.00497875,0.005,0.005003769,0.005
210X59,0.039,0,0.001,4,0,0.00109625,0.001,0.001101759,0.001
210X60,0.002,0,0.001,4,0,0.00099625,0.001,0.001001256,0.001
210X61,1.148,0,0.874,4,0,0.9114875,0.9175,0.916067839,0.918
210X62,0.978,0,0.867,4,0,0.9151625,0.9215,0.919761307,0.9225
210X63,0.97,0,0.873,4,0,0.91122125,0.9175,0.915800251,0.918
210X64,0.978,0,0.867,4,0,0.9152175,0.922,0.919816583,0.923
210X65,0.009,0,0.003,4,0,0.00511125,0.005,0.005136935,0.005
210X66,0.009,0,0.003,4,0,0.00501125,0.005,0.005036432,0.005
210X67,0.024,0,0.001,4,0,0.001105,0.001,0.001110553,0.001
210X68,0.002,0,0.001,4,0,0.00100125,0.001,0.001006281,0.001
210X69,0.411,0,0.387,4,0,0.39929375,0.401,0.401300251,0.401
210X70,0.575,0,0.39,4,0,0.39941125,0.402,0.401418342,0.402
210X71,0.41,0,0.388,4,0,0.39920625,0.4,0.401212312,0.4
210X72,0.407,0,0.392,4,0,0.39908,0.402,0.401085427,0.402
210X73,0.105,0,0.004,4,0,0.0059725,0.005,0.006002513,0.0055
210X74,0.011,0,0.004,4,0,0.00551,0.005,0.005537688,0.005
210X75,0.016,0,0.001,4,0,0.00118125,0.001,0.001187186,0.001
210X76,0.005,0,0.001,4,0,0.00111125,0.001,0.001116834,0.001
210X77,96,0,96,4,0,95.52,96,96,96
210X80,1,0,1,777,0,0.02875,0,1,1
210X81,92588.465,0,27159.67,4,0,59824.00963,55048.9325,60124.6328,55076.6775
210X82,90955.725,0,25183.125,4,0,61523.23985,63249.08,61832.40186,63268.515
210X83,92272.525,0,31131.63,4,0,60045.11033,55056.62,60346.84455,55103.715
210X84,90869.755,0,30061.335,4,0,61708.30169,63204.9475,62018.39365,63222.545
210X85,40224.78,0,267.855,4,0,862.69786,659.7425,867.0330251,660.8675
210X86,39205.485,0,230.92,4,0,862.7638075,645.2675,867.099304,645.96
210X87,2542.415,0,59.07,4,0,145.58757,132.3925,146.3191658,132.8125
210X88,4292.515,0,51.43,4,0,145.3786175,127.1325,146.1091633,127.4125
210X89,0.36,0,0.13,4,0,0.205275,0.19,0.206306533,0.19
