210X1,210X11,210X16,210X36,210X104,210X106,210X118,210X156,210X167,210X190,210X193,220X33,220X163,220X166,311X25,311X26,311X74,311X86,311X87,311X88,311X90,311X182,311X183,311X184,311X189,311X211,312X51,312X129,340X109,360X896,360X1245,420X31,420X97,420X205,520X144,520X246,520X345,520X351,520X353,750X368,750X582,Value
100.5,14.53,0.08,435,5732.5,5729.5,158.895,167.705,167.08,45.9,0,474,-0.376278,-0.466496,2888,2915,7.2,8,7.6,8,8,5,38.7,39.5,51.9,4.85,339,33.6,45713,4.62,88.3,8419,9.3,1338,60742,60742,60744,60726,60744,21.83,0.385,2.814025348
100.5,14.52,0.08,435,5732.2,5730.2,158.325,167.935,166.29,46,0.01,474,-0.380554,-0.440817,6851,6851,6.8,7.9,7.3,7.9,7.6,6,37.1,37.9,52,4.74,348,34.3,45713,4.62,88.32,4227,8.4,1289,60746,60746,60748,60730,60748,21.82,0.389,2.782954705
100.5,14.52,0.08,435,5732.5,5729.7,158.54,94.625,166.385,46.1,0.01,474,0.393381,-0.475056,2766,2766,6.4,8,7.8,8,7.8,2,37.1,37.9,51.5,5.09,340,35.9,45713,4.62,88.33,8421,9.7,1431,60748,60748,60750,60732,60750,21.83,0.392,2.72597336
100.45,14.51,0.08,435,5732.5,5730.1,158.43,167.735,166.65,46.1,0.01,474,-0.372002,-0.466496,6853,6853,6.6,7.8,7.4,7.9,7.7,8,37.1,37.9,51.9,4.79,348,34.9,45713,4.62,88.32,4229,8.5,1289,60752,60752,60754,60736,60754,21.82,0.394,2.794768371
89.9,21.41,0.076,445,5733.3,5741.1,111.36,117.59,135.29,71.8,0.02,519,-0.333519,-0.432258,2782,2782,6.7,8.9,8.4,8.9,8.6,12,37.1,37.9,53.1,4.82,345,31.8,45713,4.82,87.1,8677,9.9,1607,20548,20549,20549,20525,20549,19.99,0.374,2.787539201
100.4,26,0.073,425,5736.2,5744.4,128.775,135.705,126.325,50.1,0.03,519,-0.333519,-0.445097,6873,6873,6.7,7.9,7.4,7.9,7.5,3,37.1,37.9,51.1,4.92,336,35.2,45713,4.84,87.11,16174,9.9,1744,20547,20548,20548,20524,20548,20,0.374,2.569175163
89.34,21.17,0.076,440,5731.6,5738.9,110.86,117.545,134.72,71.8,0.02,694,0.442342,0.45869,3365,3365,6.7,8.5,8.3,8.5,8.5,5,37.1,37.9,52.7,4.84,332,29.6,45984,4.85,86.97,115,9,1651,60605,60605,60607,60589,60607,78.38,0.377,2.965823723
100.02,14.43,0.08,435,5735.8,5733.3,157.935,167.315,166.23,46.8,0,694,0.442342,0.45869,3365,3365,6.7,8.5,8.3,8.5,8.5,5,37.1,37.9,52.7,4.84,332,29.6,45984,4.85,86.97,115,9,1651,60605,60605,60607,60589,60607,78.38,0.377,2.965823723
101.25,25.91,0.071,420,5726.2,5734.9,128.865,135.975,126.025,44.7,0.02,694,0.446555,0.45869,3602,3629,6.7,8.7,8.1,8.7,8.5,1,38.7,39.5,51.6,4.99,322,35,45985,4.83,87.04,16582,9.3,1446,60607,60607,60609,60591,60609,78.38,0.377,2.773920951
100,14.44,0.08,435,5735.5,5732.1,157.85,166.865,166.3,46.8,0,694,0.446555,0.45869,3602,3629,6.7,8.7,8.1,8.7,8.5,1,38.7,39.5,51.6,4.99,322,35,45985,4.83,87.04,16582,9.3,1446,60607,60607,60609,60591,60609,78.38,0.377,2.773920951
