210X1,210X11,210X16,210X36,210X104,210X106,210X118,210X156,210X167,210X190,210X193,220X33,220X163,220X166,311X25,311X26,311X74,311X86,311X87,311X88,311X90,311X182,311X183,311X184,311X189,311X211,312X51,312X129,340X109,360X896,360X1245,420X31,420X97,420X205,520X144,520X246,520X345,520X351,520X353,750X368,750X582
100.15,25.0,0.072,420,5732.4,5738.6,127.765,134.82,125.035,48.7,0.02,1076,0.367726,-0.573491,9491,9491,6.3,8.2,7.6,8.2,8.3,1,37.1,37.9,52.3,4.78,349.0,33.0,49353,4.06,88.66,2348.0,8.8,1499.0,27173,27174,27174.0,27150.0,27174,64.33,0.708
102.05,27.88,0.079,440,5729.1,5736.3,111.935,118.1,135.885,69.6,0.02,1076,0.372002,-0.573491,9492,9492,6.4,7.8,7.5,8.0,7.7,2,37.1,37.9,49.8,4.98,349.0,34.8,49354,4.07,88.64,6942.0,8.6,1431.0,27176,27177,27177.0,27153.0,27177,64.33,0.709
102.05,27.86,0.078,440,5729.7,5736.4,112.1,118.31,135.945,69.8,0.02,1076,0.380554,-0.564931,9493,9493,6.6,7.7,7.5,7.9,8.1,3,37.1,37.9,51.8,4.86,349.0,32.5,49355,4.08,88.64,2351.0,8.9,1499.0,27179,27180,27180.0,27156.0,27180,64.31,0.709
101.1,41.08,0.083,445,5736.0,5735.3,66.565,70.87,65.98,42.9,0.19,1087,-0.372002,-0.505014,5763,5790,6.8,7.4,7.2,7.5,7.5,1,38.7,39.5,51.6,4.99,349.0,31.1,49732,3.96,88.22,7813.0,8.7,1411.0,27236,27237,27237.0,27213.0,27237,60.28,0.703
101.05,41.06,0.082,445,5735.6,5736.0,66.435,70.895,65.775,37.8,0.11,1087,-0.367726,-0.505014,14291,14291,6.2,9.2,9.2,9.3,9.3,1,37.8,38.6,56.9,4.77,334.0,35.3,49733,3.95,88.22,3181.0,9.0,1748.0,27237,27238,27238.0,27214.0,27238,60.28,0.703
101.1,41.09,0.083,445,5735.8,5735.5,66.62,70.885,65.86,35.8,0.2,1087,-0.36345,-0.500734,5000,5000,6.8,8.8,8.3,8.8,8.9,1,37.8,38.6,51.7,5.03,349.0,33.0,49733,3.95,88.28,17837.0,9.7,1626.0,27238,27239,27239.0,27215.0,27239,60.28,0.703
99.19,14.53,0.082,460,5741.6,5738.7,160.59,169.145,168.85,40.1,0.01,1067,0.419037,-0.530693,5610,5637,6.9,8.4,8.2,8.5,8.5,3,38.7,39.5,51.3,4.88,349.0,32.7,49107,3.22,82.14,6377.0,8.5,1299.0,27117,27118,27118.0,27094.0,27118,63.83,0.719
99.17,14.54,0.082,460,5741.7,5738.5,160.35,168.865,168.165,40.3,0.0,1067,0.410485,-0.509294,14024,14024,6.3,9.6,9.5,10.3,9.6,12,37.0,37.8,58.3,4.56,348.0,31.7,49107,3.22,82.14,1798.0,8.8,1499.0,27118,27119,27119.0,27095.0,27119,63.83,0.719
101.85,28.49,0.079,445,5738.6,5742.4,112.275,118.42,136.6,77.1,0.0,1068,0.397657,-0.522133,14016,14016,6.1,9.9,9.5,10.0,9.8,4,37.0,37.8,54.6,4.84,336.0,32.0,49092,3.24,82.14,1786.0,8.9,1651.0,27094,27095,27095.0,27071.0,27095,63.83,0.717
101.65,28.2,0.079,445,5739.5,5742.6,112.25,118.74,136.45,75.0,0.01,1067,0.384829,-0.534973,14020,14020,6.1,9.9,9.5,9.9,9.8,8,37.0,37.8,55.6,4.62,347.0,31.1,49103,3.22,82.13,1792.0,8.9,1612.0,27106,27107,27107.0,27083.0,27107,63.82,0.717
99.22,14.54,0.082,460,5740.6,5738.9,160.58,169.495,168.825,39.8,0.0,1067,0.410485,-0.539252,14021,14021,6.3,10.0,9.6,10.0,9.8,9,37.0,37.8,55.0,4.77,348.0,31.8,49104,3.22,82.14,6373.0,8.3,1231.0,27109,27110,27110.0,27086.0,27110,63.83,0.717
101.05,25.27,0.071,420,5723.5,5731.4,127.96,134.95,125.755,40.8,0.0,1067,0.410485,-0.530693,4741,4741,6.9,8.7,8.6,8.7,9.0,7,37.1,37.9,52.5,4.87,348.0,29.7,49106,3.22,82.14,1797.0,8.8,1553.0,27116,27117,27117.0,27093.0,27117,63.82,0.719
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067,0.410485,-0.530693,4741,4741,6.9,8.7,8.6,8.7,9.0,7,37.1,37.9,52.5,4.87,348.0,29.7,49106,3.22,82.14,1797.0,8.8,1553.0,27116,27117,27117.0,27093.0,27117,63.82,0.719
101.9,40.86,0.082,445,5731.6,5731.3,66.22,70.35,65.68,23.6,0.05,1106,0.354898,-0.556372,5910,5937,6.5,8.2,7.9,8.2,7.8,1,38.7,39.5,51.3,5.02,337.0,31.4,50530,3.88,88.37,18141.0,9.6,1382.0,27546,27547,27547.0,27523.0,27547,50.83,0.685
101.9,40.88,0.082,445,5731.6,5730.5,66.305,70.435,65.535,22.7,0.17,1106,0.350622,-0.547812,14438,14438,6.2,9.4,9.1,9.4,9.7,1,37.8,38.6,56.8,4.65,345.0,34.3,50530,3.89,88.37,8109.0,8.8,1377.0,27547,27548,27548.0,27524.0,27548,50.83,0.686
101.95,40.91,0.083,445,5731.7,5730.5,66.465,70.395,65.755,21.8,0.25,1106,0.350622,-0.552092,5147,5147,6.7,8.2,8.1,8.5,8.7,1,37.8,38.6,51.7,4.96,346.0,32.0,50531,3.88,88.33,3470.0,9.0,1309.0,27548,27549,27549.0,27525.0,27549,50.83,0.687
102.0,40.84,0.086,445,5733.0,5732.6,66.355,70.125,65.7,26.0,0.38,1106,0.393381,-0.547812,14185,14185,6.1,10.3,9.6,10.3,9.7,6,37.8,38.6,55.2,4.76,348.0,34.3,49588,4.04,88.62,7016.0,8.4,1377.0,65075,65075,65077.0,65059.0,65077,62.44,0.688
102.0,40.86,0.086,445,5732.6,5732.4,66.09,70.205,65.725,26.9,0.38,1106,0.393381,-0.522133,4894,4894,6.9,8.1,8.2,8.6,8.4,6,37.8,38.6,52.1,4.96,320.0,32.7,49588,4.04,88.62,533.0,8.5,1558.0,65076,65076,65078.0,65060.0,65078,62.44,0.688
