TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3),encoder
5,1,1,3,2,1,0,1,1,0,1,0
5,1,1,3,2,1,0,1,1,0,1,0
5,1,1,3,2,1,0,1,1,0,1,0
5,1,1,3,2,1,0,1,1,0,1,0
4,1,0,3,2,1,0,1,1,0,1,1
2,1,0,3,2,1,0,1,1,0,1,2
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
2,0,0,3,1,2,0,1,1,0,1,5
5,0,0,3,1,2,0,1,1,0,1,4
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
2,1,0,3,0,1,0,0,1,0,1,6
3,1,0,3,0,1,0,0,1,0,1,7
2,1,0,3,0,1,0,0,1,0,1,6
3,1,0,3,0,1,0,0,1,0,1,7
2,1,0,3,0,1,0,0,1,0,1,6
3,1,0,3,0,1,0,0,1,0,1,7
2,1,0,3,0,1,0,0,1,0,1,6
3,1,0,3,0,1,0,0,1,0,1,7
3,1,0,3,0,1,0,0,1,0,1,7
5,1,0,3,1,1,0,0,1,0,1,8
5,1,0,3,1,1,0,0,1,0,1,8
5,1,0,3,1,1,0,0,1,0,1,8
5,1,0,3,1,1,0,0,1,0,1,8
5,1,0,3,1,1,0,0,1,0,1,8
5,1,0,3,1,1,0,0,1,0,1,8
5,1,0,3,1,1,0,0,1,0,1,8
3,1,0,3,1,1,0,1,1,0,1,9
2,1,0,3,1,1,0,1,1,0,1,10
3,1,0,3,1,1,0,1,1,0,1,9
2,0,0,3,1,2,0,1,3,0,1,11
5,0,0,3,1,2,0,1,3,0,1,12
2,0,0,3,1,2,0,1,3,0,1,11
5,0,0,3,1,2,0,1,3,0,1,12
4,0,0,3,1,2,0,1,3,0,1,13
5,0,0,3,1,2,0,1,3,0,1,12
4,0,0,3,1,2,0,1,3,0,1,13
5,0,0,3,1,2,0,1,3,0,1,12
2,0,0,3,1,2,0,1,3,0,1,11
5,0,0,3,1,2,0,1,3,0,1,12
4,0,0,3,1,2,0,1,3,0,1,13
5,0,0,3,1,2,0,1,3,0,1,12
4,0,0,3,1,2,0,1,3,0,1,13
5,0,0,3,1,2,0,1,3,0,1,12
2,0,0,3,1,2,0,1,3,0,1,11
5,0,0,3,1,2,0,1,3,0,1,12
2,0,0,3,1,2,0,1,3,0,1,11
5,0,0,3,1,2,0,1,3,0,1,12
4,0,0,3,1,2,0,1,3,0,1,13
5,0,0,3,1,2,0,1,3,0,1,12
2,0,0,3,1,2,0,1,3,0,1,11
5,0,0,3,1,2,0,1,3,0,1,12
4,0,0,3,1,2,0,1,3,0,1,13
5,0,0,3,1,2,0,1,3,0,1,12
4,0,0,3,1,2,0,1,3,0,1,13
5,0,0,3,1,2,0,1,3,0,1,12
2,1,0,3,1,1,0,1,1,0,1,10
4,1,0,3,1,1,0,1,1,0,1,14
3,1,0,3,1,1,0,1,1,0,1,9
2,1,0,3,1,1,0,1,1,0,1,10
5,1,0,3,1,1,0,1,1,0,1,15
2,1,0,3,1,1,0,1,1,0,1,10
2,1,0,3,1,1,0,1,1,0,1,10
2,1,0,3,1,1,0,1,1,0,1,10
5,1,0,3,1,1,0,1,1,0,1,15
5,1,0,3,1,1,0,1,1,0,1,15
5,1,0,3,1,1,0,1,1,0,1,15
5,1,0,3,1,1,0,1,1,0,1,15
2,1,0,3,2,1,0,1,1,0,1,2
4,1,0,3,2,1,0,1,1,0,1,1
3,1,0,3,2,1,0,1,1,0,1,16
2,1,0,3,1,2,0,1,3,0,1,17
4,1,0,3,1,2,0,1,3,0,1,18
0,1,0,3,1,2,0,1,3,0,1,19
0,1,0,3,1,2,0,1,3,0,1,19
0,1,0,3,1,2,0,1,3,0,1,19
0,1,0,3,1,2,0,1,3,0,1,19
0,1,0,3,1,2,0,1,3,0,1,19
0,1,0,3,1,2,0,1,3,0,1,19
4,1,0,3,1,2,0,1,3,0,1,18
2,1,0,3,1,2,0,1,3,0,1,17
4,1,0,3,1,2,0,1,3,0,1,18
2,1,0,3,1,2,0,1,3,0,1,17
4,1,0,3,1,2,0,1,3,0,1,18
3,1,0,3,2,3,0,1,3,1,1,20
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
5,0,0,3,1,2,0,1,1,0,1,4
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
4,1,0,3,1,0,0,1,1,0,1,21
4,1,0,3,1,0,0,1,1,0,1,21
0,1,0,3,1,0,0,1,1,0,1,22
0,1,0,3,1,0,0,1,1,0,1,22
0,1,0,3,1,0,0,1,1,0,1,22
4,1,0,3,1,0,0,1,1,0,1,21
4,0,0,3,1,2,0,1,1,0,1,3
5,0,0,3,1,2,0,1,1,0,1,4
4,1,0,3,1,0,0,1,1,0,1,21
4,1,0,3,1,1,0,1,1,0,2,23
2,1,0,3,1,1,0,1,1,0,2,24
4,1,0,3,1,1,0,1,1,0,2,23
2,1,0,3,2,3,0,1,1,0,1,25
2,1,0,3,2,3,0,1,1,0,1,25
2,1,0,3,2,3,0,1,1,0,1,25
