311X223,311X88,311X25,311X26,311X87,311X86,311X154,311X89,311X189,311X90,311X188,311X59,311X190,311X171,311X152,311X164,311X187,311X191,311X22,311X6,311X163,311X203,311X7,311X205,311X207,310X56,300X14,300X9,311X55,300X3,300X6,311X129,311X56,220X67,311X170,220X71,300X20,300X10,311X20,300X2,311X155,311X151,311X60,300X7,300X13,311X204,520X351,210X204,520X246,520X144
109,8.2,9491,9491,7.6,8.2,-0.1,7.1,52.3,8.3,44.7,20170700000000.0,44.6,20170700000000.0,0.0,20170700000000.0,44.7,44.6,20170700000000.0,20170700000000.0,20170700000000.0,54.6,20170700000000.0,54.6,54.5,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,0.0,0.0,20170700000000.0,20170700000000.0,20170700000000.0,54.5,27150.0,20170700000000.0,27174,27173
109,8.0,9492,9492,7.5,7.8,0.0,7.0,49.8,7.7,44.8,20170700000000.0,44.6,20170700000000.0,0.0,20170700000000.0,44.6,44.6,20170700000000.0,20170700000000.0,20170700000000.0,54.5,20170700000000.0,54.5,54.4,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,0.0,20170700000000.0,20170700000000.0,20170700000000.0,53.8,27153.0,20170700000000.0,27177,27176
109,7.9,9493,9493,7.5,7.7,-0.1,7.1,51.8,8.1,44.8,20170700000000.0,44.6,20170700000000.0,0.0,20170700000000.0,44.6,44.6,20170700000000.0,20170700000000.0,20170700000000.0,54.6,,54.6,54.6,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,20170700000000.0,2017070000000000.0,,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,0.0,20170700000000.0,20170700000000.0,20170700000000.0,53.8,27156.0,20170700000000.0,27180,27179
54,7.5,5763,5790,7.2,7.4,-0.1,6.8,51.6,7.5,46.1,,46.1,,-0.1,20170700000000.0,46.1,46.1,20170700000000.0,,20170700000000.0,54.3,,54.4,54.3,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.1,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,-0.1,20170700000000.0,20170700000000.0,20170700000000.0,54.3,27213.0,20170700000000.0,27237,27236
198,9.3,14291,14291,9.2,9.2,0.0,8.8,56.9,9.3,48.6,20170700000000.0,48.6,20170700000000.0,0.0,20170700000000.0,48.6,48.6,20170700000000.0,20170700000000.0,20170700000000.0,58.4,20170700000000.0,58.4,58.4,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.2,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,0.0,0.0,20170700000000.0,,20170700000000.0,58.3,27214.0,20170700000000.0,27238,27237
101,8.8,5000,5000,8.3,8.8,-0.1,7.7,51.7,8.9,46.9,20170700000000.0,46.8,20170700000000.0,0.0,20170700000000.0,46.9,46.8,20170700000000.0,20170700000000.0,,57.6,20170700000000.0,57.6,57.6,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.1,,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,0.0,20170700000000.0,20170700000000.0,20170700000000.0,57.4,27215.0,20170700000000.0,27239,27238
54,8.5,5610,5637,8.2,8.4,-0.1,7.8,51.3,8.5,46.4,20170700000000.0,46.2,20170700000000.0,-0.1,20170700000000.0,46.3,46.2,20170700000000.0,20170700000000.0,20170700000000.0,54.2,20170700000000.0,54.2,54.1,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,,,0.1,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,,,0.0,-0.1,20170700000000.0,20170700000000.0,20170700000000.0,53.6,27094.0,20170700000000.0,27118,27117
198,10.3,14024,14024,9.5,9.6,0.0,8.6,58.3,9.6,48.8,20170700000000.0,48.6,20170700000000.0,0.0,20170700000000.0,48.6,48.6,20170700000000.0,20170700000000.0,20170700000000.0,58.5,20170700000000.0,58.5,58.5,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.2,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,,0.0,0.0,20170700000000.0,20170700000000.0,20170700000000.0,57.6,27095.0,20170700000000.0,27119,27118
198,10.0,14016,14016,9.5,9.9,0.0,8.8,54.6,9.8,48.9,20170700000000.0,48.6,20170700000000.0,0.0,20170700000000.0,48.7,48.6,20170700000000.0,20170700000000.0,20170700000000.0,58.4,20170700000000.0,58.4,58.4,2017070000000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,0.2,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,0.0,,,,57.6,27071.0,20170700000000.0,27095,27094
198,9.9,14020,14020,9.5,9.9,0.0,9.0,55.6,9.8,48.9,20170700000000.0,48.6,20170700000000.0,0.0,20170700000000.0,48.6,48.6,20170700000000.0,20170700000000.0,20170700000000.0,58.4,20170700000000.0,58.4,58.4,2017070000000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.2,20170700000000.0,2017070000000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,20170700000000.0,,,0.0,0.0,20170700000000.0,20170700000000.0,20170700000000.0,57.6,27083.0,20170700000000.0,27107,27106
