311X223,311X88,311X25,311X26,311X87,311X86,311X154,311X89,311X189,311X90,311X188,311X59,311X190,311X171,311X152,311X164,311X187,311X191,311X22,311X6,311X163,311X203,311X7,311X205,311X207,310X56,300X14,300X9,311X55,300X3,300X6,311X129,311X56,220X67,311X170,220X71,300X20,300X10,311X20,300X2,311X155,311X151,311X60,300X7,300X13,311X204,520X351,210X204,520X246,520X144,Value
50.0,8.0,2888.0,2915.0,7.6,8.0,-0.1,7.2,51.9,8.0,46.0,20170600000000.0,46.0,20170600000000.0,-0.1,20170600000000.0,46.0,46.0,20170600000000.0,20170600000000.0,20170600000000.0,54.4,20170600000000.0,54.4,54.3,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.1,60726.0,20170600000000.0,60742.0,60742.0,2.814025348
109.0,7.9,6851.0,6851.0,7.3,7.9,-0.1,6.8,52.0,7.6,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.4,44.4,20170600000000.0,20170600000000.0,20170600000000.0,54.8,20170600000000.0,54.8,54.8,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.2,60730.0,20170600000000.0,60746.0,60746.0,2.782954705
101.0,8.0,2766.0,2766.0,7.8,8.0,0.0,7.2,51.5,7.8,47.0,20170600000000.0,46.9,20170600000000.0,0.0,20170600000000.0,46.9,46.9,20170600000000.0,20170600000000.0,20170600000000.0,57.6,20170600000000.0,57.6,57.6,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.2,60732.0,20170600000000.0,60748.0,60748.0,2.72597336
109.0,7.9,6853.0,6853.0,7.4,7.8,-0.1,7.0,51.9,7.7,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.4,44.4,20170600000000.0,20170600000000.0,20170600000000.0,54.8,20170641321044.547,54.8,54.7,2017060000000000.0,20170600000000.0,20170600000000.0,20170641918528.254,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,-0.1,20170641797432.24,20170600000000.0,20170600000000.0,54.2,60736.0,20170600000000.0,60752.0,60752.0,2.794768371
101.0,8.9,2782.0,2782.0,8.4,8.9,0.0,8.1,53.1,8.6,46.9,20170600000000.0,46.7,20170600000000.0,0.0,20170600000000.0,46.7,46.7,20170642819499.34,20170600000000.0,20170600000000.0,57.6,20170600000000.0,57.6,57.6,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.1,20525.0,20170600000000.0,20549.0,20548.0,2.787539201
109.0,7.9,6873.0,6873.0,7.4,7.9,-0.1,6.9,51.1,7.5,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.4,44.4,20170600000000.0,20170600000000.0,20170600000000.0,54.9,20170600000000.0,55.0,55.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,-0.1,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.2,20524.0,20170600000000.0,20548.0,20547.0,2.569175163
101.0,8.5,3365.0,3365.0,8.3,8.5,0.0,7.8,52.7,8.5,47.0,20170600000000.0,46.9,20170600000000.0,0.0,20170600000000.0,46.9,46.9,20170600000000.0,20170600000000.0,20170600000000.0,57.5,20170600000000.0,57.5,57.5,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.0,60589.0,20170600000000.0,60605.0,60605.0,2.965823723
101.0,8.5,3365.0,3365.0,8.3,8.5,0.0,7.8,52.7,8.5,47.0,20170600000000.0,46.9,20170600000000.0,0.0,20170600000000.0,46.9,46.9,20170600000000.0,20170600000000.0,20170600000000.0,57.5,20170600000000.0,57.5,57.5,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.0,60589.0,20170600000000.0,60605.0,60605.0,2.965823723
53.0,8.7,3602.0,3629.0,8.1,8.7,-0.1,7.5,51.6,8.5,46.2,20170600000000.0,46.2,20170600000000.0,-0.1,20170600000000.0,46.2,46.2,20170600000000.0,20170600000000.0,20170600000000.0,54.4,20170641321044.547,54.4,54.3,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170641857335.13,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,-0.1,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.3,60591.0,20170600000000.0,60607.0,60607.0,2.773920951
53.0,8.7,3602.0,3629.0,8.1,8.7,-0.1,7.5,51.6,8.5,46.2,20170600000000.0,46.2,20170600000000.0,-0.1,20170600000000.0,46.2,46.2,20170600000000.0,20170600000000.0,20170600000000.0,54.4,20170641321044.547,54.4,54.3,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170641857335.13,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,-0.1,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.3,60591.0,20170600000000.0,60607.0,60607.0,2.773920951
198.0,10.4,12528.0,12528.0,9.8,10.4,0.0,9.1,54.7,9.6,48.8,20170600000000.0,48.6,20170600000000.0,0.0,20170600000000.0,48.6,48.6,20170600000000.0,20170600000000.0,20170600000000.0,58.6,20170600000000.0,58.6,58.6,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170645187165.777,20170644531250.0,0.2,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.7,60593.0,20170600000000.0,60609.0,60609.0,3.197219462
198.0,10.4,12528.0,12528.0,9.8,10.4,0.0,9.1,54.7,9.6,48.8,20170600000000.0,48.6,20170600000000.0,0.0,20170600000000.0,48.6,48.6,20170600000000.0,20170600000000.0,20170600000000.0,58.6,20170600000000.0,58.6,58.6,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170645187165.777,20170644531250.0,0.2,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.7,60593.0,20170600000000.0,60609.0,60609.0,3.197219462
198.0,10.3,12529.0,12529.0,9.8,9.3,0.0,9.0,57.2,9.6,48.9,20170600000000.0,48.7,20170600000000.0,0.0,20170600000000.0,48.7,48.7,20170600000000.0,20170600000000.0,20170600000000.0,58.3,20170600000000.0,58.3,58.3,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.2,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.6,60599.0,20170600000000.0,60615.0,60615.0,3.112323341
198.0,10.3,12529.0,12529.0,9.8,9.3,0.0,9.0,57.2,9.6,48.9,20170600000000.0,48.7,20170600000000.0,0.0,20170600000000.0,48.7,48.7,20170600000000.0,20170600000000.0,20170600000000.0,58.3,20170600000000.0,58.3,58.3,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.2,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.6,60599.0,20170600000000.0,60615.0,60615.0,3.112323341
109.0,8.0,6783.0,6783.0,7.6,8.0,-0.1,7.3,51.2,7.7,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.4,44.4,20170600000000.0,20170600000000.0,20170600000000.0,54.8,20170600000000.0,54.8,54.8,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.0,60324.0,20170600000000.0,60340.0,60340.0,2.756221803
198.0,9.7,11821.0,11821.0,9.4,9.4,0.0,9.1,56.1,10.2,48.6,20170600000000.0,48.6,20170600000000.0,0.0,20170600000000.0,48.6,48.6,20170600000000.0,20170600000000.0,20170600000000.0,58.6,20170600000000.0,58.6,58.6,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.2,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,58.5,60325.0,20170600000000.0,60341.0,60341.0,3.122650814
198.0,9.9,11817.0,11817.0,9.5,9.9,0.0,8.6,55.3,9.8,48.7,20170600000000.0,48.5,20170600000000.0,0.0,20170600000000.0,48.5,48.5,20170600000000.0,20170600000000.0,20170600000000.0,58.8,20170600000000.0,58.8,58.9,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.2,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,58.0,60300.0,20170600000000.0,60316.0,60316.0,2.952163652
101.0,8.9,2700.0,2700.0,8.6,8.8,0.0,8.2,52.7,8.8,46.9,20170600000000.0,46.8,20170600000000.0,0.0,20170600000000.0,46.8,46.8,20170600000000.0,20170600000000.0,20170600000000.0,57.4,20170600000000.0,57.4,57.4,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.0,60301.0,20170600000000.0,60317.0,60317.0,3.068079987
50.0,8.1,2817.0,2844.0,7.8,8.1,-0.1,7.4,51.0,8.0,46.3,20170600000000.0,46.2,20170600000000.0,-0.1,20170600000000.0,46.2,46.2,20170600000000.0,20170600000000.0,20170600000000.0,54.3,20170600000000.0,54.3,54.3,2017060000000000.0,20170600000000.0,20170600000000.0,20170641918528.254,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170642741935.484,20170600000000.0,-0.1,-0.1,20170641797432.24,20170600000000.0,20170600000000.0,53.6,60302.0,20170600000000.0,60318.0,60318.0,2.652616912
101.0,8.8,2704.0,2704.0,8.4,8.7,0.0,7.4,53.4,9.5,47.0,20170600000000.0,46.8,20170600000000.0,0.0,20170600000000.0,46.8,46.8,20170600000000.0,20170600000000.0,20170600000000.0,57.5,20170600000000.0,57.5,57.4,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.0,60313.0,20170600000000.0,60329.0,60329.0,2.954648254
50.0,8.1,2821.0,2848.0,7.8,8.1,-0.1,7.4,51.3,8.5,46.3,20170600000000.0,46.1,20170600000000.0,-0.1,20170600000000.0,46.2,46.2,20170600000000.0,20170600000000.0,20170600000000.0,54.3,20170600000000.0,54.3,54.4,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,-0.1,-0.1,20170600000000.0,20170600000000.0,20170600000000.0,53.7,60314.0,20170600000000.0,60330.0,60330.0,2.739788864
109.0,8.0,6780.0,6780.0,7.6,7.9,-0.1,7.0,50.8,7.6,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.4,44.4,20170600000000.0,20170600000000.0,20170600000000.0,54.7,20170641321044.547,54.8,54.7,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170641857335.13,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.0,60315.0,20170600000000.0,60331.0,60331.0,2.908289216
50.0,8.5,2824.0,2851.0,8.2,8.5,-0.1,7.8,51.9,8.0,46.3,20170600000000.0,46.2,20170600000000.0,-0.1,20170600000000.0,46.2,46.2,20170600000000.0,20170600000000.0,20170600000000.0,54.1,20170600000000.0,54.2,54.1,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,-0.1,0.0,20170600000000.0,20170643931398.414,20170600000000.0,53.6,60323.0,20170600000000.0,60339.0,60339.0,2.911308341
101.0,9.1,2725.0,2725.0,8.6,9.1,0.0,8.2,52.0,8.9,46.9,20170600000000.0,46.7,20170600000000.0,0.0,20170600000000.0,46.8,46.8,20170600000000.0,20170600000000.0,20170600000000.0,57.5,20170600000000.0,57.5,57.5,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.0,20437.0,20170600000000.0,20461.0,20460.0,2.77797922
50.0,8.6,2838.0,2865.0,8.2,8.6,-0.1,7.7,53.3,8.9,46.3,20170600000000.0,46.1,20170600000000.0,-0.1,20170600000000.0,46.2,46.2,20170600000000.0,20170600000000.0,20170600000000.0,54.3,20170600000000.0,54.3,54.3,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,-0.1,-0.1,20170600000000.0,20170600000000.0,20170600000000.0,53.7,20413.0,20170600000000.0,20437.0,20436.0,2.561720852
109.0,8.4,6798.0,6798.0,7.5,8.4,0.0,7.0,50.8,8.6,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.4,44.4,20170600000000.0,20170600000000.0,20170600000000.0,54.8,20170600000000.0,54.9,54.8,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170645187165.777,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.0,20417.0,20170600000000.0,20441.0,20440.0,2.751734564
198.0,10.3,11837.0,11837.0,9.6,10.3,0.0,9.1,54.3,9.6,48.8,20170600000000.0,48.5,20170600000000.0,0.0,20170600000000.0,48.5,48.5,20170600000000.0,20170600000000.0,20170600000000.0,58.7,20170600000000.0,58.7,58.7,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.2,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.9,20421.0,20170600000000.0,20445.0,20444.0,3.018343098
101.0,9.1,2721.0,2721.0,8.3,9.1,0.0,7.8,52.2,8.8,46.9,20170600000000.0,46.8,20170600000000.0,0.0,20170642139175.258,46.8,46.8,20170600000000.0,20170600000000.0,20170600000000.0,57.7,20170600000000.0,57.8,57.8,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.4,20425.0,20170600000000.0,20449.0,20448.0,2.69196539
101.0,8.8,2723.0,2723.0,8.4,8.8,-0.1,8.0,52.4,8.8,47.0,20170600000000.0,46.8,20170600000000.0,0.0,20170600000000.0,46.8,46.8,20170600000000.0,20170600000000.0,20170600000000.0,57.5,20170641321044.547,57.6,57.5,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.1,20170600000000.0,2017060000000000.0,20170641857335.13,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,57.1,20431.0,20170600000000.0,20455.0,20454.0,2.722004799
109.0,8.2,6804.0,6804.0,7.8,8.2,-0.1,7.5,50.0,7.9,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.5,44.5,20170600000000.0,20170600000000.0,20170600000000.0,54.7,20170641321044.547,54.7,54.7,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170600000000.0,20170600000000.0,54.0,20435.0,20170600000000.0,20459.0,20458.0,2.769098405
109.0,8.0,6785.0,6785.0,7.6,7.6,0.0,7.1,50.5,7.8,44.6,20170600000000.0,44.4,20170600000000.0,0.0,20170600000000.0,44.4,44.4,20170600000000.0,20170600000000.0,20170600000000.0,54.7,20170600000000.0,54.7,54.6,2017060000000000.0,20170600000000.0,20170643861892.586,20170600000000.0,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2017060000000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,0.0,20170600000000.0,20170643931398.414,20170643669250.645,54.1,60359.0,20170600000000.0,60375.0,60375.0,2.649478629
