311X223,311X189,311X25,311X26,311X88,311X87,311X32,311X86,311X89,311X90,311X193,311X205,311X207,311X203,311X192,311X69,311X196,311X154,311X33,311X188,311X194,311X204,311X68,311X29,311X1,311X190,311X191,311X187,311X30,311X183,311X184,311X197,311X70,311X129,311X137,311X133,311X135,210X193,311X211,311X152,420X97,311X134,311X171,311X59,311X7,311X71,311X6,311X164,311X151,311X22
109,52.3,9491,9491,8.2,7.6,301,8.2,7.1,8.3,14.12,54.6,54.5,54.6,14.12,6.3,14.12,-0.1,301,44.7,14.16,54.5,5.6,301,6,44.6,44.6,44.7,301,37.1,37.9,14.11,5.0,0.0,12.9,12.9,12.9,0.02,4.78,0.0,8.8,12.9,20170700000000.0,20170700000000.0,20170700000000.0,5.1,20170700000000.0,20170700000000.0,0.0,20170700000000.0
109,49.8,9492,9492,8.0,7.5,301,7.8,7.0,7.7,14.13,54.5,54.4,54.5,14.12,6.3,14.12,0.0,301,44.8,14.16,53.8,5.7,301,6,44.6,44.6,44.6,301,37.1,37.9,14.11,4.7,0.0,12.9,12.9,12.9,0.02,4.98,0.0,8.6,12.9,20170700000000.0,20170700000000.0,20170700000000.0,4.9,20170700000000.0,20170700000000.0,0.0,20170700000000.0
109,51.8,9493,9493,7.9,7.5,301,7.7,7.1,8.1,14.13,54.6,54.6,54.6,14.11,6.5,14.12,-0.1,301,44.8,14.17,53.8,5.7,301,6,44.6,44.6,44.6,301,37.1,37.9,14.11,4.8,0.0,12.9,12.9,12.9,0.02,4.86,0.0,8.9,12.9,20170700000000.0,20170700000000.0,,5.2,20170700000000.0,20170700000000.0,0.0,20170700000000.0
54,51.6,5763,5790,7.5,7.2,301,7.4,6.8,7.5,14.14,54.4,54.3,54.3,14.13,6.9,14.13,-0.1,301,46.1,14.18,54.3,6.2,301,11,46.1,46.1,46.1,301,38.7,39.5,14.15,5.3,0.1,13.1,13.1,13.1,0.19,4.99,-0.1,8.7,13.1,,,,5.5,,20170700000000.0,-0.1,20170700000000.0
198,56.9,14291,14291,9.3,9.2,300,9.2,8.8,9.3,14.07,58.4,58.4,58.4,14.06,6.2,14.06,0.0,301,48.6,14.11,58.3,5.3,301,1,48.6,48.6,48.6,300,37.8,38.6,14.11,4.5,0.2,12.9,12.9,12.9,0.11,4.77,0.0,9.0,12.9,20170700000000.0,20170700000000.0,20170700000000.0,4.6,20170700000000.0,20170700000000.0,0.0,20170700000000.0
101,51.7,5000,5000,8.8,8.3,301,8.8,7.7,8.9,14.14,57.6,57.6,57.6,14.13,6.7,14.13,-0.1,301,46.9,14.18,57.4,6.0,301,0,46.8,46.8,46.9,301,37.8,38.6,14.16,5.2,0.1,12.9,12.9,12.9,0.2,5.03,0.0,9.7,12.9,20170700000000.0,20170700000000.0,20170700000000.0,5.6,20170700000000.0,20170700000000.0,0.0,20170700000000.0
54,51.3,5610,5637,8.5,8.2,301,8.4,7.8,8.5,14.11,54.2,54.1,54.2,14.08,6.9,14.08,-0.1,301,46.4,14.12,53.6,6.2,301,11,46.2,46.2,46.3,301,38.7,39.5,14.12,5.5,0.1,13.1,13.1,13.1,0.01,4.88,-0.1,8.5,13.0,20170700000000.0,20170700000000.0,20170700000000.0,5.7,20170700000000.0,20170700000000.0,-0.1,20170700000000.0
198,58.3,14024,14024,10.3,9.5,300,9.6,8.6,9.6,14.02,58.5,58.5,58.5,14.01,6.3,14.01,0.0,300,48.8,14.06,57.6,5.4,300,1,48.6,48.6,48.6,300,37.0,37.8,14.07,4.8,0.2,12.9,12.9,12.9,0.0,4.56,0.0,8.8,12.9,20170700000000.0,20170700000000.0,20170700000000.0,4.9,20170700000000.0,20170700000000.0,0.0,20170700000000.0
198,54.6,14016,14016,10.0,9.5,300,9.9,8.8,9.8,14.02,58.4,58.4,58.4,14.01,6.2,14.01,0.0,300,48.9,14.06,57.6,5.2,300,1,48.6,48.6,48.7,300,37.0,37.8,14.07,4.4,0.2,12.9,12.9,12.9,0.0,4.84,0.0,8.9,12.9,20170700000000.0,20170700000000.0,20170700000000.0,4.4,20170700000000.0,20170700000000.0,0.0,20170700000000.0
198,55.6,14020,14020,9.9,9.5,300,9.9,9.0,9.8,14.02,58.4,58.4,58.4,14.01,6.1,14.01,0.0,300,48.9,14.06,57.6,5.4,301,1,48.6,48.6,48.6,300,37.0,37.8,14.07,4.4,0.2,12.9,12.9,12.9,0.01,4.62,0.0,8.9,12.9,20170700000000.0,20170700000000.0,20170700000000.0,5.1,20170700000000.0,20170700000000.0,0.0,20170700000000.0
198,55.0,14021,14021,10.0,9.6,300,10.0,9.2,9.8,14.02,58.4,58.4,58.4,14.01,6.3,14.01,0.0,300,48.9,14.06,57.6,5.3,300,1,48.6,48.6,48.7,300,37.0,37.8,14.07,4.7,0.2,12.9,12.9,12.9,0.0,4.77,0.0,8.3,12.9,20170700000000.0,20170700000000.0,20170700000000.0,4.8,20170700000000.0,20170700000000.0,0.0,20170700000000.0
