311X223,311X189,311X25,311X26,311X88,311X87,311X32,311X86,311X89,311X90,311X193,311X205,311X207,311X203,311X192,311X69,311X196,311X154,311X33,311X188,311X194,311X204,311X68,311X29,311X1,311X190,311X191,311X187,311X30,311X183,311X184,311X197,311X70,311X129,311X137,311X133,311X135,210X193,311X211,311X152,420X97,311X134,311X171,311X59,311X7,311X71,311X6,311X164,311X151,311X22,Value
50.0,51.9,2888.0,2915.0,8.0,7.6,301.0,8.0,7.2,8.0,14.1,54.4,54.3,54.4,14.09,7.0,14.09,-0.1,301.0,46.0,14.13,54.1,6.2,301.0,11.0,46.0,46.0,46.0,301.0,38.7,39.5,14.12,5.4,0.1,13.1,13.1,13.1,0.0,4.85,-0.1,9.3,13.0,20170600000000.0,20170600000000.0,20170600000000.0,5.7,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.814025348
109.0,52.0,6851.0,6851.0,7.9,7.3,301.0,7.9,6.8,7.6,14.11,54.8,54.8,54.8,14.11,6.9,14.08,-0.1,301.0,44.6,14.12,54.2,5.8,301.0,6.0,44.4,44.4,44.4,301.0,37.1,37.9,14.11,5.0,0.0,12.9,12.9,12.9,0.01,4.74,0.0,8.4,12.9,20170600000000.0,20170600000000.0,20170600000000.0,5.2,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.782954705
101.0,51.5,2766.0,2766.0,8.0,7.8,301.0,8.0,7.2,7.8,14.09,57.6,57.6,57.6,14.08,6.4,14.08,0.0,301.0,47.0,14.12,57.2,5.9,301.0,0.0,46.9,46.9,46.9,301.0,37.1,37.9,14.09,5.1,0.1,12.9,12.9,12.9,0.01,5.09,0.0,9.7,12.9,20170600000000.0,20170600000000.0,20170600000000.0,5.7,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.72597336
109.0,51.9,6853.0,6853.0,7.9,7.4,301.0,7.8,7.0,7.7,14.12,54.8,54.7,54.8,14.12,6.5,14.12,-0.1,301.0,44.6,14.16,54.2,5.6,301.0,6.0,44.4,44.4,44.4,301.0,37.1,37.9,14.11,4.8,0.0,12.9,12.9,12.9,0.01,4.79,0.0,8.5,12.9,20170600000000.0,20170600000000.0,20170641321044.547,4.8,20170600000000.0,20170600000000.0,-0.1,20170600000000.0,2.794768371
101.0,53.1,2782.0,2782.0,8.9,8.4,301.0,8.9,8.1,8.6,14.09,57.6,57.6,57.6,14.08,6.7,14.08,0.0,301.0,46.9,14.13,57.1,6.0,301.0,0.0,46.7,46.7,46.7,301.0,37.1,37.9,14.09,5.3,0.1,12.9,12.9,12.9,0.02,4.82,0.0,9.9,12.9,20170600000000.0,20170600000000.0,20170600000000.0,5.9,20170600000000.0,20170600000000.0,0.0,20170642819499.34,2.787539201
109.0,51.1,6873.0,6873.0,7.9,7.4,301.0,7.9,6.9,7.5,14.12,55.0,55.0,54.9,14.08,6.7,14.12,-0.1,301.0,44.6,14.16,54.2,5.8,301.0,6.0,44.4,44.4,44.4,301.0,37.1,37.9,14.11,5.0,0.0,12.9,12.9,12.9,0.03,4.92,0.0,9.9,12.9,20170600000000.0,20170600000000.0,20170600000000.0,5.3,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.569175163
101.0,52.7,3365.0,3365.0,8.5,8.3,301.0,8.5,7.8,8.5,14.09,57.5,57.5,57.5,14.08,6.7,14.08,0.0,301.0,47.0,14.13,57.0,6.0,301.0,0.0,46.9,46.9,46.9,301.0,37.1,37.9,14.09,5.4,0.1,12.9,12.9,12.9,0.02,4.84,0.0,9.0,12.9,20170600000000.0,20170600000000.0,20170600000000.0,5.8,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.965823723
101.0,52.7,3365.0,3365.0,8.5,8.3,301.0,8.5,7.8,8.5,14.09,57.5,57.5,57.5,14.08,6.7,14.08,0.0,301.0,47.0,14.13,57.0,6.0,301.0,0.0,46.9,46.9,46.9,301.0,37.1,37.9,14.09,5.4,0.1,12.9,12.9,12.9,0.0,4.84,0.0,9.0,12.9,20170600000000.0,20170600000000.0,20170600000000.0,5.8,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.965823723
53.0,51.6,3602.0,3629.0,8.7,8.1,301.0,8.7,7.5,8.5,14.12,54.4,54.3,54.4,14.09,6.8,14.09,-0.1,301.0,46.2,14.14,54.3,6.1,301.0,11.0,46.2,46.2,46.2,301.0,38.7,39.5,14.12,5.4,0.1,13.1,13.1,13.1,0.02,4.99,-0.1,9.3,13.0,20170600000000.0,20170600000000.0,20170641321044.547,5.5,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.773920951
53.0,51.6,3602.0,3629.0,8.7,8.1,301.0,8.7,7.5,8.5,14.12,54.4,54.3,54.4,14.09,6.8,14.09,-0.1,301.0,46.2,14.14,54.3,6.1,301.0,11.0,46.2,46.2,46.2,301.0,38.7,39.5,14.12,5.4,0.1,13.1,13.1,13.1,0.0,4.99,-0.1,9.3,13.0,20170600000000.0,20170600000000.0,20170641321044.547,5.5,20170600000000.0,20170600000000.0,0.0,20170600000000.0,2.773920951
