311X25,311X26,311X223,311X88,311X87,311X86,311X189,311X89,311X90,311X188,311X190,311X154,311X203,311X191,311X205,311X187,311X207,311X59,311X171,311X22,311X7,311X6,311X164,311X152,311X204,311X163,311X129,520X351,520X353,520X144,520X246,520X345,311X20,300X3,520X1,311X55,210X1,300X14,300X9,300X6,311X170,310X56,311X56,330X140,330X157,220X67,330X147,300X20,300X10,220X71
9491,9491,109,8.2,7.6,8.2,52.3,7.1,8.3,44.7,44.6,-0.1,54.6,44.6,54.6,44.7,54.5,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,54.5,20170700000000.0,0.0,27150.0,27174,27173,27174,27174.0,,20170700000000.0,20653.0,20170700000000.0,100.15,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,93.84,93.827,2017070000000000.0,93.82,20170700000000.0,20170700000000.0,2017070000000000.0
9492,9492,109,8.0,7.5,7.8,49.8,7.0,7.7,44.8,44.6,0.0,54.5,44.6,54.5,44.6,54.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,53.8,20170700000000.0,0.0,27153.0,27177,27176,27177,27177.0,20170700000000.0,20170700000000.0,20656.0,20170700000000.0,102.05,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,93.84,93.833,2017070000000000.0,93.82,20170700000000.0,20170700000000.0,2017070000000000.0
9493,9493,109,7.9,7.5,7.7,51.8,7.1,8.1,44.8,44.6,-0.1,54.6,44.6,54.6,44.6,54.6,20170700000000.0,20170700000000.0,20170700000000.0,,20170700000000.0,20170700000000.0,0.0,53.8,20170700000000.0,0.0,27156.0,27180,27179,27180,27180.0,20170700000000.0,20170700000000.0,20659.0,20170700000000.0,102.05,20170700000000.0,20170700000000.0,20170700000000.0,,2017070000000000.0,20170700000000.0,93.84,93.833,2017070000000000.0,93.82,20170700000000.0,20170700000000.0,2017070000000000.0
5763,5790,54,7.5,7.2,7.4,51.6,6.8,7.5,46.1,46.1,-0.1,54.3,46.1,54.4,46.1,54.3,,,20170700000000.0,,,20170700000000.0,-0.1,54.3,20170700000000.0,0.1,27213.0,27237,27236,27237,27237.0,20170700000000.0,20170700000000.0,20716.0,20170700000000.0,101.1,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.46,83.46,2017070000000000.0,83.46,20170700000000.0,20170700000000.0,2017070000000000.0
14291,14291,198,9.3,9.2,9.2,56.9,8.8,9.3,48.6,48.6,0.0,58.4,48.6,58.4,48.6,58.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,58.3,20170700000000.0,0.2,27214.0,27238,27237,27238,27238.0,,20170700000000.0,20717.0,20170700000000.0,101.05,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,83.47,83.463,2017070000000000.0,83.46,20170700000000.0,20170700000000.0,2017070000000000.0
5000,5000,101,8.8,8.3,8.8,51.7,7.7,8.9,46.9,46.8,-0.1,57.6,46.8,57.6,46.9,57.6,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.4,,0.1,27215.0,27239,27238,27239,27239.0,20170700000000.0,20170700000000.0,20718.0,20170700000000.0,101.1,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,,83.38,83.38,2017070000000000.0,83.38,20170700000000.0,20170700000000.0,2017070000000000.0
5610,5637,54,8.5,8.2,8.4,51.3,7.8,8.5,46.4,46.2,-0.1,54.2,46.2,54.2,46.3,54.1,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,-0.1,53.6,20170700000000.0,0.1,27094.0,27118,27117,27118,27118.0,,,20610.0,20170700000000.0,99.19,20170700000000.0,20170700000000.0,,20170700000000.0,2017070000000000.0,20170700000000.0,93.94,93.94,2017070000000000.0,93.94,20170700000000.0,20170700000000.0,2017070000000000.0
14024,14024,198,10.3,9.5,9.6,58.3,8.6,9.6,48.8,48.6,0.0,58.5,48.6,58.5,48.6,58.5,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,27095.0,27119,27118,27119,27119.0,20170700000000.0,20170700000000.0,20611.0,20170700000000.0,99.17,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,93.96,93.947,2017070000000000.0,93.94,20170700000000.0,20170700000000.0,2017070000000000.0
14016,14016,198,10.0,9.5,9.9,54.6,8.8,9.8,48.9,48.6,0.0,58.4,48.6,58.4,48.7,58.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,27071.0,27095,27094,27095,27095.0,20170700000000.0,20170700000000.0,20587.0,,101.85,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,94.15,94.143,2017070000000000.0,94.14,20170700000000.0,20170700000000.0,2017070000000000.0
14020,14020,198,9.9,9.5,9.9,55.6,9.0,9.8,48.9,48.6,0.0,58.4,48.6,58.4,48.6,58.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,27083.0,27107,27106,27107,27107.0,,20170700000000.0,20599.0,20170700000000.0,101.65,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,93.98,93.98,2017070000000000.0,93.98,20170700000000.0,20170700000000.0,2017070000000000.0
14021,14021,198,10.0,9.6,10.0,55.0,9.2,9.8,48.9,48.6,0.0,58.4,48.6,58.4,48.7,58.4,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.6,20170700000000.0,0.2,27086.0,27110,27109,27110,27110.0,20170700000000.0,,20602.0,,99.22,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,93.96,93.96,2017070000000000.0,93.96,20170700000000.0,20170700000000.0,2017070000000000.0
4741,4741,101,8.7,8.6,8.7,52.5,7.9,9.0,46.9,46.8,-0.1,57.5,46.8,57.5,46.8,57.5,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,0.0,57.0,20170700000000.0,0.1,27093.0,27117,27116,27117,27117.0,20170700000000.0,20170700000000.0,20609.0,20170700000000.0,101.05,20170700000000.0,20170700000000.0,20170700000000.0,20170700000000.0,2017070000000000.0,20170700000000.0,93.94,93.94,2017070000000000.0,93.94,20170700000000.0,20170700000000.0,2017070000000000.0
