311X25,311X26,311X223,311X88,311X87,311X86,311X189,311X89,311X90,311X188,311X190,311X154,311X203,311X191,311X205,311X187,311X207,311X59,311X171,311X22,311X7,311X6,311X164,311X152,311X204,311X163,311X129,520X351,520X353,520X144,520X246,520X345,311X20,300X3,520X1,311X55,210X1,300X14,300X9,300X6,311X170,310X56,311X56,330X140,330X157,220X67,330X147,300X20,300X10,220X71,Value
2888.0,2915.0,50.0,8.0,7.6,8.0,51.9,7.2,8.0,46.0,46.0,-0.1,54.4,46.0,54.4,46.0,54.3,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,-0.1,54.1,20170600000000.0,0.1,60726.0,60744.0,60742.0,60742.0,60744.0,20170600000000.0,20170600000000.0,53926.0,20170600000000.0,100.5,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,77.22,77.22,2017060000000000.0,77.22,20170600000000.0,20170600000000.0,2017060000000000.0,2.814025348
6851.0,6851.0,109.0,7.9,7.3,7.9,52.0,6.8,7.6,44.6,44.4,-0.1,54.8,44.4,54.8,44.4,54.8,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,54.2,20170600000000.0,0.0,60730.0,60748.0,60746.0,60746.0,60748.0,20170600000000.0,20170600000000.0,53930.0,20170600000000.0,100.5,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,77.22,77.22,2017060000000000.0,77.22,20170600000000.0,20170600000000.0,2017060000000000.0,2.782954705
2766.0,2766.0,101.0,8.0,7.8,8.0,51.5,7.2,7.8,47.0,46.9,0.0,57.6,46.9,57.6,46.9,57.6,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,57.2,20170600000000.0,0.1,60732.0,60750.0,60748.0,60748.0,60750.0,20170600000000.0,20170600000000.0,53932.0,20170600000000.0,100.5,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,77.22,77.22,2017060000000000.0,77.22,20170600000000.0,20170600000000.0,2017060000000000.0,2.72597336
6853.0,6853.0,109.0,7.9,7.4,7.8,51.9,7.0,7.7,44.6,44.4,-0.1,54.8,44.4,54.8,44.4,54.7,20170600000000.0,20170600000000.0,20170600000000.0,20170641321044.547,20170600000000.0,20170600000000.0,0.0,54.2,20170600000000.0,0.0,60736.0,60754.0,60752.0,60752.0,60754.0,20170642741935.484,20170600000000.0,53936.0,20170641918528.254,100.45,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,77.21,77.21,2017060000000000.0,77.21,20170600000000.0,20170600000000.0,2017060000000000.0,2.794768371
2782.0,2782.0,101.0,8.9,8.4,8.9,53.1,8.1,8.6,46.9,46.7,0.0,57.6,46.7,57.6,46.7,57.6,20170600000000.0,20170600000000.0,20170642819499.34,20170600000000.0,20170600000000.0,20170600000000.0,0.0,57.1,20170600000000.0,0.1,20525.0,20549.0,20548.0,20549.0,20549.0,20170642741935.484,20170600000000.0,14618.0,20170600000000.0,89.9,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,75.36,75.307,2017060000000000.0,75.2,20170600000000.0,20170600000000.0,2017060000000000.0,2.787539201
6873.0,6873.0,109.0,7.9,7.4,7.9,51.1,6.9,7.5,44.6,44.4,-0.1,54.9,44.4,55.0,44.4,55.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,54.2,20170600000000.0,0.0,20524.0,20548.0,20547.0,20548.0,20548.0,20170600000000.0,20170600000000.0,14617.0,20170600000000.0,100.4,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,75.2,75.2,2017060000000000.0,75.2,20170600000000.0,20170600000000.0,2017060000000000.0,2.569175163
3365.0,3365.0,101.0,8.5,8.3,8.5,52.7,7.8,8.5,47.0,46.9,0.0,57.5,46.9,57.5,46.9,57.5,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,57.0,20170600000000.0,0.1,60589.0,60607.0,60605.0,60605.0,60607.0,20170642741935.484,20170600000000.0,53796.0,20170600000000.0,89.34,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,88.56,88.557,2017060000000000.0,88.55,20170600000000.0,20170600000000.0,2017060000000000.0,2.965823723
3365.0,3365.0,101.0,8.5,8.3,8.5,52.7,7.8,8.5,47.0,46.9,0.0,57.5,46.9,57.5,46.9,57.5,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,0.0,57.0,20170600000000.0,0.1,60589.0,60607.0,60605.0,60605.0,60607.0,20170642741935.484,20170600000000.0,53796.0,20170600000000.0,100.02,20170600000000.0,20170600000000.0,20170600000000.0,20170600000000.0,2017060000000000.0,20170600000000.0,88.56,88.557,2017060000000000.0,88.55,20170600000000.0,20170600000000.0,2017060000000000.0,2.965823723
3602.0,3629.0,53.0,8.7,8.1,8.7,51.6,7.5,8.5,46.2,46.2,-0.1,54.4,46.2,54.4,46.2,54.3,20170600000000.0,20170600000000.0,20170600000000.0,20170641321044.547,20170600000000.0,20170600000000.0,-0.1,54.3,20170600000000.0,0.1,60591.0,60609.0,60607.0,60607.0,60609.0,20170600000000.0,20170600000000.0,53798.0,20170600000000.0,101.25,20170600000000.0,20170600000000.0,20170600000000.0,20170641857335.13,2017060000000000.0,20170600000000.0,88.56,88.56,2017060000000000.0,88.56,20170600000000.0,20170600000000.0,2017060000000000.0,2.773920951
3602.0,3629.0,53.0,8.7,8.1,8.7,51.6,7.5,8.5,46.2,46.2,-0.1,54.4,46.2,54.4,46.2,54.3,20170600000000.0,20170600000000.0,20170600000000.0,20170641321044.547,20170600000000.0,20170600000000.0,-0.1,54.3,20170600000000.0,0.1,60591.0,60609.0,60607.0,60607.0,60609.0,20170600000000.0,20170600000000.0,53798.0,20170600000000.0,100.0,20170600000000.0,20170600000000.0,20170600000000.0,20170641857335.13,2017060000000000.0,20170600000000.0,88.56,88.56,2017060000000000.0,88.56,20170600000000.0,20170600000000.0,2017060000000000.0,2.773920951
