TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3),encoder_test
2,1,1,0,2,1,0,1,2,1,0,281.0
4,1,1,0,2,1,0,1,2,1,0,282.0
4,1,1,0,2,1,0,1,2,1,0,282.0
0,1,0,0,1,0,0,1,2,1,0,
0,1,0,0,1,0,0,1,2,1,0,
0,1,0,0,1,0,0,1,2,1,0,
5,1,0,0,1,1,0,1,4,0,0,
5,1,0,0,1,1,0,1,4,0,0,
4,1,0,0,1,1,0,1,4,0,0,
4,1,0,0,1,1,0,1,4,0,0,
5,1,0,0,1,1,0,1,4,0,0,
2,1,0,0,1,1,0,1,4,0,0,
4,1,0,0,1,1,0,1,4,0,0,
0,1,0,0,0,1,0,1,2,1,0,277.0
0,1,0,0,0,1,0,1,2,1,0,277.0
0,1,0,0,0,1,0,1,2,1,0,277.0
0,1,0,0,2,1,0,1,2,1,0,
0,1,0,0,2,1,0,1,2,1,0,
0,1,0,0,2,1,0,1,2,1,0,
0,1,0,0,2,1,0,1,2,1,0,
0,1,0,0,2,1,0,1,2,1,0,
0,1,0,0,2,1,0,1,2,1,0,
0,1,0,0,2,1,0,1,2,1,0,
5,1,0,0,0,0,1,0,2,1,0,
2,1,0,0,0,0,1,0,2,1,0,
2,1,0,0,0,0,1,0,2,1,0,
5,1,0,0,0,0,1,0,2,1,0,
2,1,0,0,0,0,1,0,2,1,0,
2,1,0,0,0,0,1,0,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
3,1,1,0,2,4,0,1,2,1,0,
0,1,0,0,1,1,0,1,2,1,0,
0,1,0,0,1,1,0,1,2,1,0,
5,1,0,0,0,0,0,1,2,1,0,
5,1,0,0,0,0,0,1,2,1,0,
5,1,0,0,0,0,0,1,2,1,0,
5,1,0,0,0,0,0,1,2,1,0,
0,0,0,0,0,0,0,1,2,1,0,
0,0,0,0,0,0,0,1,2,1,0,
0,0,0,0,0,0,0,1,2,1,0,
0,0,0,0,0,0,0,1,2,1,0,
0,0,0,0,0,0,0,1,2,1,0,
0,1,0,0,0,0,0,1,2,1,0,
0,1,0,0,0,0,0,1,2,1,0,
3,1,0,3,1,3,0,1,3,0,1,34.0
3,1,0,3,1,3,0,1,3,0,1,34.0
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
4,1,0,3,1,3,0,1,3,0,1,33.0
5,1,0,3,1,3,0,1,3,0,1,
5,1,0,3,1,3,0,1,3,0,1,
