TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3)
L,B,N,B,V,B,V,R,C,XY2,A
N,B,N,B,V,B,V,R,C,XY2,A
N,B,N,B,V,B,V,R,C,XY2,A
J,B,E,B,T,A,V,R,C,XY2,A
J,B,E,B,T,A,V,R,C,XY2,A
J,B,E,B,T,A,V,R,C,XY2,A
O,B,E,B,T,B,V,R,E,XY1,A
O,B,E,B,T,B,V,R,E,XY1,A
N,B,E,B,T,B,V,R,E,XY1,A
N,B,E,B,T,B,V,R,E,XY1,A
O,B,E,B,T,B,V,R,E,XY1,A
L,B,E,B,T,B,V,R,E,XY1,A
N,B,E,B,T,B,V,R,E,XY1,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,K,B,V,R,C,XY2,A
J,B,E,B,V,B,V,R,C,XY2,A
J,B,E,B,V,B,V,R,C,XY2,A
J,B,E,B,V,B,V,R,C,XY2,A
J,B,E,B,V,B,V,R,C,XY2,A
J,B,E,B,V,B,V,R,C,XY2,A
J,B,E,B,V,B,V,R,C,XY2,A
J,B,E,B,V,B,V,R,C,XY2,A
O,B,E,B,K,A,W,Q,C,XY2,A
L,B,E,B,K,A,W,Q,C,XY2,A
L,B,E,B,K,A,W,Q,C,XY2,A
O,B,E,B,K,A,W,Q,C,XY2,A
L,B,E,B,K,A,W,Q,C,XY2,A
L,B,E,B,K,A,W,Q,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
M,B,N,B,V,E,V,R,C,XY2,A
J,B,E,B,T,B,V,R,C,XY2,A
J,B,E,B,T,B,V,R,C,XY2,A
O,B,E,B,K,A,V,R,C,XY2,A
O,B,E,B,K,A,V,R,C,XY2,A
O,B,E,B,K,A,V,R,C,XY2,A
O,B,E,B,K,A,V,R,C,XY2,A
J,A,E,B,K,A,V,R,C,XY2,A
J,A,E,B,K,A,V,R,C,XY2,A
J,A,E,B,K,A,V,R,C,XY2,A
J,A,E,B,K,A,V,R,C,XY2,A
J,A,E,B,K,A,V,R,C,XY2,A
J,B,E,B,K,A,V,R,C,XY2,A
J,B,E,B,K,A,V,R,C,XY2,A
M,B,E,E,T,D,V,R,D,XY1,B
M,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
N,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
N,B,E,E,T,D,V,R,D,XY1,B
N,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
N,B,E,E,V,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
N,B,E,E,V,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
N,B,E,E,V,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
N,B,E,E,V,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
N,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
N,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
N,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,T,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
N,B,E,E,V,D,V,R,D,XY1,B
N,B,E,E,V,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
O,B,E,E,V,D,V,R,D,XY1,B
N,A,E,E,V,D,V,R,D,XY1,B
L,A,E,E,V,D,V,R,D,XY1,B
N,A,E,E,V,D,V,R,D,XY1,B
N,A,E,E,V,D,V,R,D,XY1,B
O,A,E,E,V,D,V,R,D,XY1,B
L,A,E,E,V,D,V,R,D,XY1,B
N,A,E,E,V,D,V,R,D,XY1,B
L,A,E,E,V,D,V,R,D,XY1,B
O,A,E,E,V,D,V,R,D,XY1,B
N,A,E,E,T,D,V,R,D,XY1,B
M,A,E,E,T,D,V,R,D,XY1,B
L,A,E,E,T,D,V,R,D,XY1,B
N,A,E,E,T,D,V,R,D,XY1,B
M,A,E,E,T,D,V,R,D,XY1,B
L,A,E,E,T,D,V,R,D,XY1,B
N,A,E,E,T,D,V,R,D,XY1,B
M,A,E,E,T,D,V,R,D,XY1,B
L,A,E,E,T,D,V,R,D,XY1,B
N,A,E,E,T,D,V,R,D,XY1,B
M,A,E,E,T,D,V,R,D,XY1,B
L,A,E,E,T,D,V,R,D,XY1,B
N,A,E,E,T,D,V,R,D,XY1,B
